id,name
0,happiness with cheek raiser and lip corner puller or part
1,sadness with inner brow raiser or brow lowerer and lip corner depressor and chin raiser
2,neutral
3,anger with brow lowerer and lid tightener and chin raiser and lip pressor
4,surprise with brow raiser and upper lid raiser and lip part and jaw drop
5,disgust with nose wrinkler and upper lip raiser and chin raiser
6,fear with brow raiser or brow lowerer and upper lid raiser and lip stretcher or part
7,contempt
8,anxiety
9,helplessness
10,disappointment
